#F1	F2	d
MZ22526662	MZ22521630	0.1528
MZ22520753	MZ22507937	0.7794
MZ22526590	MZ22517399	0.2992
MZ22515822	MZ22505720	0.6639
MZ22520505	MZ22509936	0.3471
MZ22528890	MZ22500821	0.5096
MZ22508325	MZ22500100	0.0910
MZ22526389	MZ22514408	0.6267
MZ22528926	MZ22501751	0.3633
MZ22523180	MZ22519550	0.0772
MZ22529369	MZ22504555	0.6429
MZ22527782	MZ22502471	0.4825
MZ22530179	MZ22509586	0.3359
MZ22526370	MZ22514100	0.2383
MZ22519480	MZ22508209	0.2801
MZ22521061	MZ22511874	0.2213
MZ22523964	MZ22501785	0.3375
MZ22511703	MZ22503706	0.7082
MZ22522729	MZ22501411	0.3410
MZ22522244	MZ22515198	0.7861
MZ22522412	MZ22508213	0.5622
MZ22517048	MZ22513944	0.4102
MZ22517801	MZ22513178	0.1934
MZ22520086	MZ22508836	0.4674
MZ22526280	MZ22503281	0.5026
MZ22521190	MZ22506122	0.4756
MZ22527979	MZ22503340	0.1979
MZ22507631	MZ22500240	0.0855
MZ22523722	MZ22518771	0.4690
MZ22529034	MZ22501933	0.2475
MZ22526422	MZ22519973	0.4837
MZ22527316	MZ22518398	0.2998
MZ22506720	MZ22500086	0.9671
MZ22527473	MZ22507218	0.1994
MZ22527267	MZ22520477	0.1731
MZ22516235	MZ22503871	0.1056
MZ22518702	MZ22502933	0.5787
MZ22519988	MZ22510573	0.6821
MZ22508059	MZ22500671	0.9179
MZ22522160	MZ22502972	0.0994
MZ22522094	MZ22524767	0.2101
MZ22514037	MZ22501043	0.0822
MZ22527398	MZ22501095	0.3309
MZ22521358	MZ22505681	0.2554
MZ22527853	MZ22526455	0.0677
MZ22505965	MZ22500405	0.3750
MZ22520852	MZ22516593	1.0325
MZ22513068	MZ22508709	0.2197
MZ22525431	MZ22503597	0.4462
MZ22520513	MZ22500880	0.3263
MZ22528382	MZ22505573	0.4774
MZ22521493	MZ22504709	0.5690
MZ22529769	MZ22515408	0.8481
MZ22527489	MZ22513316	0.2835
MZ22525702	MZ22510626	0.5488
MZ22520603	MZ22506376	0.4648
MZ22527079	MZ22503255	0.1888
MZ22516350	MZ22503251	0.4008
MZ22527624	MZ22509448	0.2686
MZ22525253	MZ22515834	0.6163
MZ22527065	MZ22511931	0.6813
MZ22523760	MZ22516284	0.0899
MZ22526925	MZ22522786	0.6774
MZ22519479	MZ22504431	0.1481
MZ22518320	MZ22502581	0.6983
MZ22517028	MZ22507394	0.6660
MZ22525800	MZ22518537	0.3277
MZ22512892	MZ22512080	0.3494
MZ22527194	MZ22504622	0.0891
MZ22513078	MZ22502920	0.3666
MZ22530654	MZ22505624	0.3613
MZ22513501	MZ22507119	0.1554
MZ22529472	MZ22523869	0.0632
MZ22514065	MZ22505081	0.7657
MZ22528481	MZ22501784	0.3446
MZ22512431	MZ22503376	0.5401
MZ22523663	MZ22515477	0.5982
MZ22529819	MZ22504901	0.5005
MZ22527962	MZ22500052	0.2315
MZ22528714	MZ22505668	0.1826
MZ22528321	MZ22502584	0.1176
MZ22529433	MZ22502268	0.5583
MZ22522537	MZ22502535	0.3285
MZ22508705	MZ22500461	0.4434
MZ22519008	MZ22508304	0.4763
MZ22508266	MZ22501897	0.4312
MZ22522197	MZ22507882	0.4265
MZ22528028	MZ22504313	0.1467
MZ22529387	MZ22517496	0.4940
MZ22526996	MZ22506449	0.3170
MZ22530415	MZ22523870	0.3424
MZ22520556	MZ22504296	0.1263
MZ22523139	MZ22513151	0.2557
MZ22516793	MZ22507869	0.1121
MZ22507335	MZ22501385	0.4673
MZ22520172	MZ22500202	0.2362
MZ22518949	MZ22509202	0.8225
MZ22502784	MZ22500128	0.3183
MZ22526975	MZ22520168	0.1587
MZ22524802	MZ22508818	0.2527
MZ22527579	MZ22504582	0.2174
MZ22519842	MZ22513359	0.3479
MZ22522990	MZ22521201	0.3896
MZ22522913	MZ22508861	0.7763
MZ22513649	MZ22504300	0.3494
MZ22524973	MZ22512210	0.6285
MZ22506081	MZ22503151	0.4435
MZ22522546	MZ22515575	0.1366
MZ22515259	MZ22502920	0.0942
MZ22531031	MZ22506886	0.1319
MZ22519085	MZ22518004	0.3737
MZ22519864	MZ22503420	0.6023
MZ22507310	MZ22502765	0.2697
MZ22517928	MZ22502795	0.7481
MZ22522586	MZ22509537	0.5273
MZ22517327	MZ22501933	0.2539
MZ22530012	MZ22523614	0.2469
MZ22509596	MZ22501082	0.3368
MZ22527487	MZ22524989	0.2423
MZ22516599	MZ22504079	0.6366
MZ22524489	MZ22515978	0.2544
MZ22526870	MZ22505796	0.4068
MZ22505508	MZ22504796	0.5332
MZ22510970	MZ22503502	0.7200
MZ22517480	MZ22507292	0.6456
MZ22522427	MZ22501751	0.2301
MZ22527550	MZ22523296	0.1654
MZ22516010	MZ22502698	0.0861
MZ22517831	MZ22500603	0.2164
MZ22512310	MZ22506675	0.6220
MZ22530860	MZ22509333	0.4018
MZ22530692	MZ22512001	0.4171
MZ22525245	MZ22504305	0.1850
MZ22529280	MZ22502991	0.1811
MZ22527027	MZ22522044	0.3898
MZ22522207	MZ22512497	0.3485
MZ22523372	MZ22504570	0.1172
MZ22528629	MZ22504598	0.2478
MZ22509664	MZ22503124	0.6312
MZ22509884	MZ22503417	0.9970
MZ22527233	MZ22521356	0.1656
MZ22529768	MZ22507146	0.0711
MZ22527070	MZ22511236	0.0773
MZ22524517	MZ22504758	0.4322
MZ22527124	MZ22510961	0.0698
MZ22507770	MZ22503151	0.1935
MZ22521971	MZ22504476	0.6302
MZ22527139	MZ22515312	0.0765
MZ22527542	MZ22523350	0.6505
MZ22509118	MZ22509111	0.1366
MZ22529759	MZ22510333	0.4384
MZ22529620	MZ22503161	0.2262
MZ22521759	MZ22507760	0.3105
MZ22513834	MZ22503164	0.4492
MZ22525836	MZ22519436	0.1943
MZ22531103	MZ22502457	0.1144
MZ22527082	MZ22506063	0.5526
MZ22522005	MZ22517941	0.2681
MZ22530515	MZ22504022	0.3989
MZ22529611	MZ22508290	0.7027
MZ22527842	MZ22515000	0.1799
MZ22520461	MZ22510081	0.5963
MZ22527891	MZ22517712	0.2051
MZ22516112	MZ22504938	0.5472
MZ22528120	MZ22503390	0.2856
MZ22530902	MZ22520254	0.1392
MZ22519814	MZ22504497	0.4862
MZ22520203	MZ22520565	0.1326
MZ22516466	MZ22504809	0.1954
MZ22513605	MZ22501716	0.6402
MZ22523466	MZ22514823	0.3477
MZ22526939	MZ22515847	0.1427
MZ22526945	MZ22519234	0.3625
MZ22529003	MZ22522263	0.3985
MZ22518997	MZ22513805	0.5497
MZ22526739	MZ22501042	0.4479
MZ22526472	MZ22514220	0.0846
MZ22530826	MZ22526554	0.7275
MZ22513062	MZ22502934	0.5502
MZ22521915	MZ22508471	0.7383
MZ22509938	MZ22506679	0.4570
MZ22529768	MZ22518877	0.1136
MZ22518297	MZ22513576	0.3984
MZ22522193	MZ22506733	0.6108
MZ22516260	MZ22503883	0.4853
MZ22528172	MZ22503148	0.3863
MZ22509729	MZ22502137	0.3929
MZ22505652	MZ22500845	0.7856
MZ22516556	MZ22504422	0.4518
MZ22514589	MZ22504464	0.0736
MZ22514094	MZ22504052	0.2036
MZ22522217	MZ22505732	0.8138
MZ22525528	MZ22508817	0.3803
MZ22520905	MZ22517410	0.4901
MZ22517737	MZ22501939	0.1328
MZ22529278	MZ22501565	0.6513
MZ22527632	MZ22515296	0.3827
MZ22527051	MZ22516330	0.3277
MZ22525040	MZ22519529	0.3046
MZ22522449	MZ22505777	0.3685
MZ22516282	MZ22502538	0.5863
MZ22508913	MZ22502229	0.5688
MZ22531161	MZ22518433	0.1049
MZ22528268	MZ22506885	0.9477
MZ22512845	MZ22500701	0.6001
MZ22528240	MZ22516777	0.1661
MZ22512726	MZ22501929	0.6900
MZ22528142	MZ22507761	0.7530
MZ22530115	MZ22500806	0.2727
MZ22530787	MZ22502823	0.6409
MZ22529729	MZ22508861	0.1251
MZ22527064	MZ22521962	0.0814
MZ22516367	MZ22503585	0.1484
MZ22521455	MZ22502259	0.2181
MZ22516279	MZ22511637	0.4779
MZ22529235	MZ22507700	0.5310
MZ22507383	MZ22501480	0.5688
MZ22529928	MZ22523228	0.7636
MZ22519516	MZ22508888	0.3432
MZ22528208	MZ22519372	0.5312
MZ22528506	MZ22504980	0.1538
MZ22531004	MZ22527540	0.5092
MZ22528534	MZ22519014	0.4817
MZ22511662	MZ22501221	0.3645
MZ22513348	MZ22501314	0.3390
MZ22516714	MZ22502033	0.0740
MZ22514099	MZ22501321	0.5511
MZ22515389	MZ22502519	0.0920
MZ22529855	MZ22507378	0.6516
MZ22519901	MZ22509749	0.4616
MZ22525336	MZ22509210	0.0951
MZ22524844	MZ22522831	0.0678
MZ22510054	MZ22500945	0.4684
MZ22518205	MZ22505445	0.1667
MZ22528508	MZ22512523	0.1675
MZ22530703	MZ22527307	0.1626
MZ22524270	MZ22520529	0.1518
MZ22509074	MZ22501082	0.1147
MZ22516880	MZ22504137	0.2503
MZ22527097	MZ22510566	0.8219
MZ22519703	MZ22510682	0.3708
MZ22513317	MZ22503330	0.7343
MZ22522231	MZ22515757	0.6592
MZ22527720	MZ22525810	0.2325
MZ22514898	MZ22504530	0.8412
MZ22529156	MZ22517972	0.0930
MZ22529459	MZ22500079	0.4316
MZ22529089	MZ22502584	0.2898
MZ22529279	MZ22514289	0.7807
MZ22518696	MZ22514930	0.1132
MZ22517884	MZ22502478	0.0700
MZ22527713	MZ22516538	0.2761
MZ22528677	MZ22520230	0.0688
MZ22513812	MZ22504965	0.0664
MZ22524159	MZ22502000	0.1014
MZ22529790	MZ22510716	0.8785
MZ22531084	MZ22518171	0.2295
MZ22516351	MZ22506078	0.5413
MZ22514442	MZ22502568	0.4437
MZ22509629	MZ22500870	0.2405
MZ22525149	MZ22507735	0.6656
MZ22526976	MZ22518170	0.0827
MZ22526137	MZ22510827	0.1137
MZ22530832	MZ22527893	0.5186
MZ22523244	MZ22515537	0.2896
MZ22521237	MZ22509730	0.1358
MZ22528721	MZ22501664	0.5003
MZ22530517	MZ22513820	0.2603
MZ22522209	MZ22516326	0.9573
MZ22527128	MZ22516950	0.1554
MZ22517047	MZ22510807	0.1104
MZ22516524	MZ22501599	0.0727
MZ22521678	MZ22513644	0.3228
MZ22521533	MZ22518174	0.4245
MZ22527570	MZ22514693	0.1573
MZ22528284	MZ22520960	0.3984
MZ22520313	MZ22506696	0.5567
MZ22511185	MZ22502944	0.1362
MZ22519936	MZ22512153	0.0841
MZ22511168	MZ22503637	0.5715
MZ22523052	MZ22523304	0.1002
MZ22512723	MZ22502864	0.1249
MZ22513537	MZ22505432	0.6857
MZ22516937	MZ22503174	0.3443
MZ22531187	MZ22508437	0.3508
